Target_Crop,Soil_Type,Batch_NPK_Profile,Rec_Dose_g_per_pot,Apply_Freq_Days,Compatibility_Score
Sili (Chili Pepper),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),20.6,10,88.9
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),17.8,10,94.2
Talong (Eggplant),Sandy Loam,High Nitrogen & Fiber (N-Rich),50.0,14,72.5
Kamatis (Tomato),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),23.3,14,91.7
Pechay,Sandy Loam,Balanced Organic (High C / Moderate K),44.3,7,88.1
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),18.0,10,77.9
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),19.8,10,65.9
Pechay,Clay Loam,Organic Soil Conditioner (High Carbon),29.0,7,77.8
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),21.6,10,74.8
Talong (Eggplant),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),22.3,14,89.7
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),33.2,14,74.5
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),18.2,7,92.3
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),29.7,14,88.1
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),19.1,10,88.9
Sili (Chili Pepper),Sandy Loam,Balanced Organic (High C / Moderate K),27.7,10,91.0
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),17.8,7,92.1
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),21.4,14,98.4
Kangkong,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),20.2,7,96.1
Pechay,Sandy Loam,High Nitrogen & Fiber (N-Rich),24.5,7,92.5
Kangkong,Clay Loam,Organic Soil Conditioner (High Carbon),29.6,7,73.0
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),44.9,7,91.3
Talong (Eggplant),Sandy Loam,Organic Soil Conditioner (High Carbon),50.3,14,71.5
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),35.5,7,69.6
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),35.2,7,67.0
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),24.9,14,94.4
Kangkong,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),18.6,7,93.9
Kangkong,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),21.0,7,96.9
Kangkong,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),20.6,7,93.8
Pechay,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),35.0,7,91.4
Pechay,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),34.4,7,79.8
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),17.6,7,88.4
Talong (Eggplant),Sandy Loam,Organic Soil Conditioner (High Carbon),49.3,14,66.7
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),22.5,10,71.3
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),34.5,7,73.5
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),44.0,7,92.5
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),22.3,14,93.3
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),43.9,7,67.9
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),44.2,7,78.7
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),23.5,10,76.9
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),31.6,14,92.5
Kangkong,Sandy Loam,Organic Soil Conditioner (High Carbon),43.1,7,73.9
Pechay,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),35.5,7,95.0
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),24.8,14,94.5
Sili (Chili Pepper),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),23.3,10,88.9
Kamatis (Tomato),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),39.8,14,78.5
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),43.5,7,73.4
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),31.7,14,92.5
Talong (Eggplant),Clay Loam,Organic Soil Conditioner (High Carbon),34.2,14,80.3
Kamatis (Tomato),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),21.8,14,97.4
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),43.4,7,66.5
Kangkong,Clay Loam,Balanced Organic (High C / Moderate K),30.4,7,90.0
Talong (Eggplant),Sandy Loam,Organic Soil Conditioner (High Carbon),48.8,14,69.1
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),29.3,7,91.5
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),35.5,7,67.3
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),17.3,10,92.9
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),35.4,7,70.9
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),35.2,7,77.9
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),19.5,7,91.7
Kamatis (Tomato),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),25.4,14,89.4
Kangkong,Clay Loam,High Nitrogen & Fiber (N-Rich),16.5,7,91.8
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),31.8,14,88.7
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),25.3,14,89.4
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),19.5,10,69.3
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),21.7,7,94.1
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),19.0,10,90.6
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),34.9,14,79.7
Kamatis (Tomato),Clay Loam,Balanced Organic (High C / Moderate K),20.4,14,88.2
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),31.7,14,92.1
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),17.0,10,88.8
Kamatis (Tomato),Clay Loam,Organic Soil Conditioner (High Carbon),34.5,14,78.4
Sili (Chili Pepper),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),26.6,10,78.7
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),50.7,14,74.6
Talong (Eggplant),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),22.2,14,91.9
Kamatis (Tomato),Sandy Loam,High Nitrogen & Fiber (N-Rich),50.5,14,78.8
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),20.6,10,77.7
Kangkong,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),34.7,7,92.2
Kamatis (Tomato),Sandy Loam,High Nitrogen & Fiber (N-Rich),48.5,14,78.9
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),45.4,7,98.2
Talong (Eggplant),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),21.7,14,97.9
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),44.4,7,66.7
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),20.5,14,97.1
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),24.3,14,97.4
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),24.9,7,92.8
Kangkong,Clay Loam,Balanced Organic (High C / Moderate K),30.5,7,90.5
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),18.1,10,66.3
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),36.5,7,79.1
Sili (Chili Pepper),Sandy Loam,Balanced Organic (High C / Moderate K),26.4,10,89.0
Pechay,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),34.9,7,70.7
Kamatis (Tomato),Clay Loam,Balanced Organic (High C / Moderate K),22.3,14,90.5
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),17.9,10,80.9
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),43.4,7,74.6
Kangkong,Clay Loam,Organic Soil Conditioner (High Carbon),29.9,7,81.0
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),43.0,7,97.5
Pechay,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),33.7,7,73.1
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),43.2,7,74.5
Pechay,Sandy Loam,High Nitrogen & Fiber (N-Rich),26.0,7,91.3
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),18.6,10,74.7
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),17.9,10,82.0
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),43.0,7,67.7
Sili (Chili Pepper),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),19.4,10,67.8
Sili (Chili Pepper),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),18.2,10,80.4
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),19.0,10,81.6
Talong (Eggplant),Sandy Loam,Organic Soil Conditioner (High Carbon),49.8,14,70.6
Kamatis (Tomato),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),21.5,14,89.2
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),44.5,7,89.8
Talong (Eggplant),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),22.0,14,92.7
Sili (Chili Pepper),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),21.3,10,93.0
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),16.9,7,98.9
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),18.3,10,73.2
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),32.2,14,93.5
Sili (Chili Pepper),Sandy Loam,Balanced Organic (High C / Moderate K),26.8,10,97.6
Pechay,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),30.1,7,81.0
Kamatis (Tomato),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),25.3,14,94.1
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),18.0,10,97.1
Kamatis (Tomato),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),20.0,14,91.5
Kangkong,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),19.5,7,93.1
Kangkong,Sandy Loam,Organic Soil Conditioner (High Carbon),43.5,7,74.0
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),18.5,10,66.0
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),31.0,14,93.1
Pechay,Sandy Loam,Balanced Organic (High C / Moderate K),44.3,7,92.8
Sili (Chili Pepper),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),22.6,10,92.7
Kangkong,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),20.9,7,91.7
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),43.2,7,88.6
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),18.6,10,88.1
Kamatis (Tomato),Sandy Loam,High Nitrogen & Fiber (N-Rich),51.2,14,67.2
Kangkong,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.6,7,69.0
Kamatis (Tomato),Clay Loam,Organic Soil Conditioner (High Carbon),35.5,14,73.8
Kangkong,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),19.6,7,98.7
Kangkong,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),30.2,7,68.6
Talong (Eggplant),Clay Loam,High Nitrogen & Fiber (N-Rich),34.5,14,76.5
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),43.6,7,66.5
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),19.7,7,93.6
Sili (Chili Pepper),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),17.9,10,75.5
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),18.4,10,67.7
Kamatis (Tomato),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),24.0,14,92.9
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),25.9,7,94.6
Pechay,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),33.8,7,69.7
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),39.5,14,80.5
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),21.4,14,98.0
Kamatis (Tomato),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),21.3,14,98.5
Kamatis (Tomato),Sandy Loam,High Nitrogen & Fiber (N-Rich),49.4,14,70.2
Kangkong,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),30.0,7,71.7
Talong (Eggplant),Clay Loam,Organic Soil Conditioner (High Carbon),33.0,14,81.3
Kamatis (Tomato),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),25.2,14,93.5
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),16.4,7,91.7
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),42.7,7,79.6
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),21.8,10,68.2
Talong (Eggplant),Sandy Loam,Organic Soil Conditioner (High Carbon),50.7,14,78.1
Talong (Eggplant),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),39.4,14,68.5
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),19.2,10,70.5
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),25.0,14,98.2
Talong (Eggplant),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),39.2,14,68.5
Pechay,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.4,7,73.7
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),29.6,7,93.1
Kangkong,Sandy Loam,Organic Soil Conditioner (High Carbon),41.8,7,80.2
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),30.1,14,96.9
Kamatis (Tomato),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),20.9,14,90.2
Sili (Chili Pepper),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),17.6,10,65.6
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),19.3,10,65.9
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),25.3,14,90.5
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),35.3,7,73.2
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),21.4,10,72.1
Talong (Eggplant),Clay Loam,Organic Soil Conditioner (High Carbon),33.2,14,67.9
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),43.9,7,71.4
Talong (Eggplant),Clay Loam,High Nitrogen & Fiber (N-Rich),34.6,14,72.0
Pechay,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),36.6,7,80.9
Kangkong,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),35.9,7,88.4
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),19.8,10,92.4
Kangkong,Clay Loam,Organic Soil Conditioner (High Carbon),30.6,7,75.8
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),34.9,7,70.4
Kangkong,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),19.3,7,89.4
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),33.4,7,81.1
Talong (Eggplant),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),21.0,14,96.4
Pechay,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),35.8,7,73.5
Kamatis (Tomato),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),39.5,14,79.7
Kangkong,Sandy Loam,Organic Soil Conditioner (High Carbon),43.8,7,76.4
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),18.2,10,78.0
Kangkong,Sandy Loam,Organic Soil Conditioner (High Carbon),44.1,7,67.3
Sili (Chili Pepper),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),27.3,10,65.3
Talong (Eggplant),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),37.9,14,77.8
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),17.7,10,88.1
Kamatis (Tomato),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),25.5,14,97.0
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),28.0,7,95.5
Sili (Chili Pepper),Sandy Loam,Balanced Organic (High C / Moderate K),27.5,10,95.7
Sili (Chili Pepper),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),19.2,10,71.8
Pechay,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),33.9,7,81.2
Kamatis (Tomato),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),40.8,14,67.1
Kangkong,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),21.1,7,97.3
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),17.7,10,73.0
Pechay,Sandy Loam,Balanced Organic (High C / Moderate K),43.2,7,90.2
Talong (Eggplant),Sandy Loam,High Nitrogen & Fiber (N-Rich),50.1,14,72.0
Pechay,Clay Loam,Organic Soil Conditioner (High Carbon),31.0,7,74.3
Talong (Eggplant),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),39.7,14,79.1
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),31.8,14,96.5
Kangkong,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),20.0,7,97.2
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),29.2,7,97.3
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),20.6,10,73.0
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),30.6,14,89.7
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),43.1,7,66.4
Sili (Chili Pepper),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),23.4,10,98.2
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),17.7,7,98.0
Talong (Eggplant),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),39.7,14,70.9
Pechay,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.8,7,68.2
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),19.5,7,97.1
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),44.7,7,71.4
Kamatis (Tomato),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),20.7,14,93.9
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),16.4,7,96.9
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),18.7,10,69.8
Talong (Eggplant),Sandy Loam,Organic Soil Conditioner (High Carbon),48.9,14,79.7
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),24.8,14,90.7
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),43.2,7,77.7
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),34.4,14,74.4
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),26.0,14,93.4
Sili (Chili Pepper),Sandy Loam,High Nitrogen & Fiber (N-Rich),27.5,10,65.7
Pechay,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.8,7,67.6
Talong (Eggplant),Clay Loam,High Nitrogen & Fiber (N-Rich),34.5,14,76.3
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),48.7,14,75.0
Pechay,Sandy Loam,Balanced Organic (High C / Moderate K),43.3,7,92.9
Kamatis (Tomato),Sandy Loam,High Nitrogen & Fiber (N-Rich),50.6,14,72.6
Kamatis (Tomato),Clay Loam,Organic Soil Conditioner (High Carbon),34.9,14,74.1
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),31.8,14,92.3
Kangkong,Clay Loam,High Nitrogen & Fiber (N-Rich),18.2,7,95.1
Sili (Chili Pepper),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),26.9,10,65.3
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),19.5,10,68.5
Talong (Eggplant),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),21.2,14,93.8
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),38.5,14,80.8
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),41.3,7,67.0
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),50.3,14,78.6
Talong (Eggplant),Clay Loam,High Nitrogen & Fiber (N-Rich),33.8,14,80.5
Sili (Chili Pepper),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),20.3,10,81.0
Kamatis (Tomato),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),21.4,14,96.6
Sili (Chili Pepper),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),21.7,10,89.4
Pechay,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),35.1,7,93.5
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),18.3,10,89.7
Sili (Chili Pepper),Sandy Loam,Balanced Organic (High C / Moderate K),26.6,10,92.8
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),43.8,7,75.6
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),34.4,7,68.1
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),35.7,7,74.8
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),20.3,10,77.6
Talong (Eggplant),Sandy Loam,Organic Soil Conditioner (High Carbon),49.7,14,70.7
Sili (Chili Pepper),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),19.9,10,73.2
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),23.8,14,95.1
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),32.0,14,88.9
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),25.2,7,89.0
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),25.4,14,89.4
Pechay,Clay Loam,Organic Soil Conditioner (High Carbon),30.7,7,71.1
Kangkong,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),30.0,7,65.7
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),42.6,7,69.0
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),25.5,14,88.7
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),44.1,7,65.5
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),21.7,10,72.1
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),18.6,10,77.2
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),35.6,7,68.3
Pechay,Clay Loam,Organic Soil Conditioner (High Carbon),29.9,7,73.8
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),34.7,7,74.7
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),31.3,14,98.0
Kangkong,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),28.9,7,80.0
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),43.1,7,72.0
Sili (Chili Pepper),Sandy Loam,High Nitrogen & Fiber (N-Rich),27.5,10,69.7
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),18.6,10,91.6
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),18.8,10,93.1
Talong (Eggplant),Sandy Loam,High Nitrogen & Fiber (N-Rich),50.0,14,76.4
Sili (Chili Pepper),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),26.5,10,77.6
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),44.9,7,79.7
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),32.1,14,89.4
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),30.0,7,98.4
Pechay,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.4,7,69.5
Sili (Chili Pepper),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),28.3,10,80.9
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),25.7,14,90.4
Kamatis (Tomato),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),26.1,14,92.9
Kamatis (Tomato),Clay Loam,Organic Soil Conditioner (High Carbon),34.5,14,66.8
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),31.0,14,98.6
Sili (Chili Pepper),Sandy Loam,Organic Soil Conditioner (High Carbon),27.9,10,79.0
Kamatis (Tomato),Clay Loam,Organic Soil Conditioner (High Carbon),32.5,14,73.8
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),24.7,14,94.4
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),36.4,7,77.4
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),34.0,7,76.9
Talong (Eggplant),Clay Loam,High Nitrogen & Fiber (N-Rich),32.7,14,77.1
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),24.8,14,90.7
